"date","ville","pays","no2","o3","pm25","temp_max","temp_min","temp_moy","amplitude","humidite"
2024-02-09,"Hong Kong","Chine",29.96,27.21,15.5,13.3,9.7,11.4,3.6,76.3
2024-02-10,"Hong Kong","Chine",32.17,43.66,28.93,18.2,11.2,14,7,63.3
2024-02-11,"Hong Kong","Chine",27.93,74.05,20.11,22.4,11.8,17,10.6,51.3
2024-02-12,"Hong Kong","Chine",20,94.1,16.77,22.2,14.5,18.2,7.7,46.5
2024-02-13,"Hong Kong","Chine",22.5,94.03,21.28,23.5,16.3,19.5,7.2,69
2024-02-14,"Hong Kong","Chine",32.65,70.92,16.88,24.8,17.5,20.5,7.3,77.6
2024-02-15,"Hong Kong","Chine",43.28,51.88,15.42,26.7,18.9,21.9,7.8,71
2024-02-16,"Hong Kong","Chine",26.18,66.94,15.84,23.6,18.6,20.4,5,73.1
2024-02-17,"Hong Kong","Chine",34.41,65.54,13.81,21.9,17.8,20,4.1,78.3
2024-02-18,"Hong Kong","Chine",42.32,42.13,13.79,26.9,19.8,22.5,7.1,81.3
2024-02-19,"Hong Kong","Chine",30.8,33.9,10.15,25.5,20.9,23,4.6,84.1
2024-02-20,"Hong Kong","Chine",25.5,45.84,10.23,27.4,22.1,24.3,5.3,81.7
2024-02-21,"Hong Kong","Chine",27.71,40.2,8.1,27.9,22.2,24.5,5.7,79.9
2024-02-22,"Hong Kong","Chine",35.17,31.24,14.94,27.2,22,24.1,5.2,80.1
2024-02-23,"Hong Kong","Chine",33.83,26.73,15.07,21.5,16.3,19.2,5.2,78.7
2024-02-24,"Hong Kong","Chine",44.88,19.12,19.35,19.4,15.6,16.8,3.8,71.9
2024-02-25,"Hong Kong","Chine",43.66,21.19,16.86,18.3,12.9,15.2,5.4,70.9
2024-02-26,"Hong Kong","Chine",47.23,29.1,26.8,19.1,14.3,16.3,4.8,70.3
2024-02-27,"Hong Kong","Chine",31.15,63.51,21.37,18.3,14.3,15.8,4,67
2024-02-28,"Hong Kong","Chine",33.42,70.67,19.75,18.4,15,17.1,3.4,77.7
2024-02-29,"Hong Kong","Chine",45.31,29.33,17.59,20.9,13.7,16.8,7.2,85.6
2024-03-01,"Hong Kong","Chine",37.58,38.99,9.16,13.8,9.5,11.8,4.3,74.8
2024-03-02,"Hong Kong","Chine",45.74,34.79,12.2,13.1,8.8,10.9,4.3,72.2
2024-03-03,"Hong Kong","Chine",21.4,77.12,18.07,18.5,13.5,15.9,5,77.1
2024-03-04,"Hong Kong","Chine",42.64,49.62,14.58,24,17.6,20.8,6.4,86.9
2024-03-05,"Hong Kong","Chine",24.56,40.92,16.53,27.6,22.1,24.8,5.5,82.5
2024-03-06,"Hong Kong","Chine",53.62,16.22,24.18,25.3,19.5,22.6,5.8,82.5
2024-03-07,"Hong Kong","Chine",39.09,35.32,19.25,19,16.7,18,2.3,69.1
2024-03-08,"Hong Kong","Chine",32.7,82.7,20.21,21.9,15.8,18.4,6.1,59.7
2024-03-09,"Hong Kong","Chine",33.04,87.16,32.29,19.7,15.1,16.9,4.6,71.9
2024-03-10,"Hong Kong","Chine",20.7,81.18,16.29,16.8,14.8,15.9,2,84.1
2024-03-11,"Hong Kong","Chine",44.02,42.32,8.77,18,16,17,2,90.4
2024-03-12,"Hong Kong","Chine",36.34,86.79,11.15,24.2,15.5,19,8.7,62.7
2024-03-13,"Hong Kong","Chine",31.53,116.41,24.56,23.1,17.7,19.8,5.4,62.4
2024-03-14,"Hong Kong","Chine",33.43,97.92,29.59,22.6,18.7,20.2,3.9,70.4
2024-03-15,"Hong Kong","Chine",34.33,86.15,34.19,22.8,19.2,20.8,3.6,78.1
2024-03-16,"Hong Kong","Chine",45.51,49.01,35.8,24,19.6,21.5,4.4,84.6
2024-03-17,"Hong Kong","Chine",74.01,19.98,28.61,25.6,20.7,22.7,4.9,85.7
2024-03-18,"Hong Kong","Chine",38.4,62.86,20.87,23.9,20.1,21.7,3.8,88.8
2024-03-19,"Hong Kong","Chine",40.67,64.8,9.18,22.7,18.8,20.8,3.9,71.2
2024-03-20,"Hong Kong","Chine",32.49,100.37,16.64,23.2,18.1,20.4,5.1,51.3
2024-03-21,"Hong Kong",NA,39.39,81.795,16.2,23.5,17.7,20.7,5.8,60.9
2024-03-22,"Hong Kong","Chine",46.29,63.22,15.76,26.3,20.4,23,5.9,76.9
2024-03-23,"Hong Kong","Chine",22.57,53.29,10.31,27.6,22,24.6,5.6,79.8
2024-03-24,"Hong Kong","Chine",18.56,56.82,8.82,29,23.5,25.9,5.5,78.1
2024-03-25,"Hong Kong","Chine",33.43,29.33,16.05,29.4,23.2,25.8,6.2,78.8
2024-03-26,"Hong Kong","Chine",45.1,64,24.73,30.5,23.1,25.9,7.4,77.6
2024-03-27,"Hong Kong","Chine",32.76,99.44,16.62,24.9,21.6,23,3.3,78.2
2024-03-28,"Hong Kong","Chine",54.72,37.73,16.3,26.6,22.8,24.6,3.8,78.2
2024-03-29,"Hong Kong","Chine",56.44,63.78,26.84,28.7,22.9,25.3,5.8,80.1
2024-03-30,"Hong Kong","Chine",20.04,42.92,11.08,29.2,24.6,26.4,4.6,76.3
2024-03-31,"Hong Kong","Chine",10.78,30.13,10.27,29.3,26.4,27.6,2.9,78.9
2024-04-01,"Hong Kong","Chine",10.67,48.44,25.95,30,26.6,27.7,3.4,75.7
2024-04-02,"Hong Kong","Chine",17.62,47.29,25.23,29.6,25.1,27.2,4.5,76.8
2024-04-03,"Hong Kong","Chine",13.08,40.73,5.1,28.6,26.2,27.3,2.4,77.3
2024-04-04,"Hong Kong","Chine",9.6,46.64,7.1,28.9,25.9,27.4,3,78.6
2024-04-05,"Hong Kong","Chine",16.64,58.2,20.64,28.6,24.6,26.8,4,76.1
2024-04-06,"Hong Kong","Chine",29.12,55.57,12.37,26,23.4,24.8,2.6,86.4
2024-04-07,"Hong Kong","Chine",24.63,48.95,13.53,27.8,24,26.1,3.8,84.5
2024-04-08,"Hong Kong","Chine",39.77,19.64,13.47,28.1,21.8,24.8,6.3,87.4
2024-04-09,"Hong Kong","Chine",11.77,91.87,10.37,24.7,21.5,22.4,3.2,78.1
2024-04-10,"Hong Kong","Chine",31.09,112.4,16.11,27.3,21.5,23.9,5.8,65.4
2024-04-11,"Hong Kong","Chine",42.81,89.47,20.4,28,22.6,24.8,5.4,74.6
2024-04-12,"Hong Kong","Chine",69.76,43.72,22.38,30.4,22,25.7,8.4,77.4
2024-04-13,"Hong Kong","Chine",28.8,58.34,15.1,30.5,23.1,26.5,7.4,76.5
2024-04-14,"Hong Kong","Chine",11.99,53.09,9.77,31,25,27.5,6,76.8
2024-04-15,"Hong Kong","Chine",23.24,37.71,18.64,31.5,25.4,27.8,6.1,78.1
2024-04-16,"Hong Kong","Chine",9.99,47.34,11.28,31.4,24.4,27.9,7,75.7
2024-04-17,"Hong Kong","Chine",13.5,46.16,12.1,30.9,26.4,28.7,4.5,75.3
2024-04-18,"Hong Kong","Chine",34.43,48.51,9.44,29.7,24.4,26.9,5.3,79.5
2024-04-19,"Hong Kong","Chine",13.92,48.47,10.05,28,26,27.4,2,81
2024-04-20,"Hong Kong","Chine",19.68,51.85,8.83,30,22.7,27.3,7.3,79.6
2024-04-21,"Hong Kong","Chine",37.9,36.22,7.02,27.3,22.7,24.6,4.6,85.1
2024-04-22,"Hong Kong","Chine",58.13,20.41,12.75,26.6,23.2,25,3.4,88.4
2024-04-23,"Hong Kong","Chine",51.05,36.85,8.55,26.6,24.4,25.3,2.2,90.1
2024-04-24,"Hong Kong","Chine",54.26,43.54,17.72,27.6,24.6,26,3,88.6
2024-04-25,"Hong Kong","Chine",28.91,33.86,6.47,29.2,25.4,27,3.8,83.2
2024-04-26,"Hong Kong","Chine",21.01,31.82,6.95,29.4,24.2,27.3,5.2,87.6
2024-04-27,"Hong Kong","Chine",15.92,34.25,6.54,30.3,27.4,28.7,2.9,84.5
2024-04-28,"Hong Kong","Chine",21.35,77.76,4.83,28.6,23.6,26.4,5,85.8
2024-04-29,"Hong Kong","Chine",17.28,33.76,8.18,29.9,25.5,28.1,4.4,82.7
2024-04-30,"Hong Kong","Chine",21.46,48.09,9.73,30.4,22.7,28.5,7.7,80.7
2024-05-01,"Hong Kong","Chine",50.56,63.34,12.98,24.7,22.2,23.6,2.5,89.5
2024-05-02,"Hong Kong","Chine",26.76,96.48,12.2,25.6,22.9,24.3,2.7,86.8
2024-05-03,"Hong Kong","Chine",33.25,94.46,12.95,26.8,23.6,24.9,3.2,82.7
2024-05-04,"Hong Kong","Chine",42.74,57.74,6.37,25.1,22.5,24,2.6,91.6
2024-05-05,"Hong Kong","Chine",41.54,67.08,8.67,27.7,22.8,25.4,4.9,85
2024-05-06,"Hong Kong","Chine",47.99,40.89,13.64,31.1,23.9,27.4,7.2,80.9
2024-05-07,"Hong Kong","Chine",43.39,88.88,21.06,30.8,24.7,26.9,6.1,79.5
2024-05-08,"Hong Kong","Chine",34.09,108.91,20.63,28.9,24.3,26.6,4.6,75.9
2024-05-09,"Hong Kong","Chine",22.15,149.26,19.63,28.9,24.6,26.4,4.3,63
2024-05-10,"Hong Kong","Chine",26.09,100.78,10.73,27.5,24.1,25.7,3.4,69.5
2024-05-11,"Hong Kong","Chine",35.83,69.8,13.28,29.8,24.5,27.1,5.3,78.2
2024-05-12,"Hong Kong","Chine",59.33,30.89,18.36,30,24.8,26.8,5.2,84.7
2024-05-13,"Hong Kong","Chine",31,90.92,10.36,29.5,23.5,26.4,6,80.5
2024-05-14,"Hong Kong","Chine",28.97,120.09,8.77,28.5,22.6,25.5,5.9,64.8
2024-05-15,"Hong Kong","Chine",27.24,148.8,11.62,29.3,22.7,26.2,6.6,61.3
2024-05-16,"Hong Kong","Chine",25.4,154.13,17.04,29.8,23.4,26.6,6.4,53
2024-05-17,"Hong Kong","Chine",37.38,99.63,11.64,28,23.5,25.8,4.5,69.3
2024-05-18,"Hong Kong","Chine",25.68,117.12,16.66,29.5,24.4,26.7,5.1,67
2024-05-19,"Hong Kong","Chine",16.76,80.79,10.21,26.6,24.1,25.5,2.5,77.3
2024-05-20,"Hong Kong","Chine",30.43,53.4,6.14,26.2,24,24.9,2.2,89.7
2024-05-21,"Hong Kong","Chine",65.53,13.36,13.11,26.2,24.5,25.4,1.7,93.9
2024-05-22,"Hong Kong","Chine",48.53,35.9,13.7,28.4,24.9,26.3,3.5,89
2024-05-23,"Hong Kong","Chine",36.49,53.26,4.84,28.6,24.7,26.4,3.9,87.9
2024-05-24,"Hong Kong","Chine",41.47,20.82,5.25,27.1,24.8,25.6,2.3,90.3
2024-05-25,"Hong Kong","Chine",37.39,29.04,7.28,29.4,25.2,26.9,4.2,87
2024-05-26,"Hong Kong","Chine",18.36,35.33,8.29,30,25.5,27.5,4.5,85
2024-05-27,"Hong Kong","Chine",19.18,38.42,7.55,30.1,27.1,28.3,3,84.3
2024-05-28,"Hong Kong","Chine",29.5,89.23,8.95,31.1,26.1,28.2,5,83.2
2024-05-29,"Hong Kong","Chine",25.22,108.87,9.22,28.2,24.7,26.2,3.5,67.9
2024-05-30,"Hong Kong","Chine",33.01,66.18,8.53,27.2,24.7,26.1,2.5,82.6
2024-05-31,"Hong Kong","Chine",27.63,48.7,4.9,29.8,26,27.6,3.8,88
2024-06-01,"Hong Kong","Chine",12.23,65.92,3.15,29.5,25.8,27.2,3.7,87.7
2024-06-02,"Hong Kong","Chine",33.94,76.69,14.88,30.1,26,28.1,4.1,85.1
2024-06-03,"Hong Kong","Chine",27.58,89.43,4.53,28,24.3,25.9,3.7,89.1
2024-06-04,"Hong Kong","Chine",31.78,93.39,11.66,26,23.8,24.7,2.2,83.3
2024-06-05,"Hong Kong","Chine",34.95,67,13.48,27.6,23.3,25.2,4.3,86.5
2024-06-06,"Hong Kong","Chine",38.97,59.92,9.66,27.9,24.7,26.5,3.2,87.8
2024-06-07,"Hong Kong","Chine",29.09,83.73,7.35,28,24.9,26.2,3.1,89.2
2024-06-08,"Hong Kong","Chine",36.18,48.25,6.3,29.8,24.9,26.8,4.9,87.4
2024-06-09,"Hong Kong","Chine",31.45,23.59,3.77,28.7,25.6,27,3.1,90
2024-06-10,"Hong Kong","Chine",12.66,40.75,2.1,30.8,26.2,28.6,4.6,84.3
2024-06-11,"Hong Kong","Chine",10.14,52.03,6.06,31.3,27.1,29,4.2,84.9
2024-06-12,"Hong Kong","Chine",9.5,61.26,7.32,32.3,27.7,29.6,4.6,83.9
2024-06-13,"Hong Kong","Chine",12.72,64.17,9.1,32.4,28.4,30.1,4,82.2
2024-06-14,"Hong Kong","Chine",12.81,62.51,8.34,30.4,27.5,29.5,2.9,84.4
2024-06-15,"Hong Kong","Chine",33.47,37.3,5.71,30.3,24.7,27.9,5.6,86.3
2024-06-16,"Hong Kong","Chine",14.89,48.5,5.79,31.2,25.1,28.9,6.1,85.2
2024-06-17,"Hong Kong","Chine",10.22,44.44,3.81,32.3,27.8,30.1,4.5,79.8
2024-06-18,"Hong Kong","Chine",11.44,53.49,5.31,31.8,27.6,30,4.2,80.3
2024-06-19,"Hong Kong","Chine",12.34,45.02,3.76,32.3,28,30.2,4.3,79.2
2024-06-20,"Hong Kong","Chine",13.09,40.51,3.43,32.5,28,30.1,4.5,80.2
2024-06-21,"Hong Kong","Chine",10.24,42.41,12.64,33.1,27.5,30.7,5.6,76.2
2024-06-22,"Hong Kong","Chine",9.55,45.02,7.18,33.5,28.8,30.9,4.7,76
2024-06-23,"Hong Kong","Chine",8.04,47.45,1.96,32.5,27.8,30.3,4.7,77.9
2024-06-24,"Hong Kong","Chine",10.8,43.04,3.16,31.7,28.4,30.3,3.3,78.7
2024-06-25,"Hong Kong","Chine",17.77,36.24,4.15,31.8,26.4,29.9,5.4,79.3
2024-06-26,"Hong Kong","Chine",20.31,32.45,5.61,33,26.8,30.1,6.2,77.8
2024-06-27,"Hong Kong","Chine",16.38,34.07,2.67,33.3,27.5,30.4,5.8,77.7
2024-06-28,"Hong Kong","Chine",11.09,43.61,2.47,32.8,28.3,30.6,4.5,76.7
2024-06-29,"Hong Kong","Chine",18.02,30.35,3.49,31.7,26.8,29.5,4.9,80.4
2024-06-30,"Hong Kong","Chine",9.99,42.81,4.21,31.9,27.4,30.2,4.5,79.9
2024-07-01,"Hong Kong","Chine",8.64,51.22,5.3,32.6,29.1,30.7,3.5,78.6
2024-07-02,"Hong Kong","Chine",11.15,41.27,4.22,32.2,29.1,30.4,3.1,79.4
2024-07-03,"Hong Kong","Chine",10.79,35.32,1.83,32.8,28.2,30.8,4.6,74.4
2024-07-04,"Hong Kong","Chine",27.2,31.89,6.99,32.5,28.2,30.2,4.3,76.4
2024-07-05,"Hong Kong","Chine",19.71,36.89,11.94,33.2,27.4,30.4,5.8,77
2024-07-06,"Hong Kong","Chine",19.81,24.08,2.91,33.3,28.3,30.8,5,76.5
2024-07-07,"Hong Kong","Chine",8.78,42.79,2.91,33.6,28.5,31.1,5.1,75.9
2024-07-08,"Hong Kong","Chine",12.39,53.46,5.28,33.8,28.3,31,5.5,73
2024-07-09,"Hong Kong","Chine",17.31,45.25,3.11,33.9,28,30.7,5.9,74.1
2024-07-10,"Hong Kong","Chine",15.56,40.44,1.51,33.2,26.8,30,6.4,78.9
2024-07-11,"Hong Kong","Chine",14.5,39.35,2.81,32.2,27.4,29.5,4.8,82.3
2024-07-12,"Hong Kong","Chine",16.98,41.87,2.65,31.6,27.5,29.3,4.1,85
2024-07-13,"Hong Kong","Chine",16.88,34.17,3.9,33.4,28.4,30.3,5,79
2024-07-14,"Hong Kong","Chine",18.52,26.73,5.01,34.8,28.1,30.4,6.7,78.7
2024-07-15,"Hong Kong","Chine",21.57,27.45,3.91,32.1,28.1,29.5,4,85.1
2024-07-16,"Hong Kong","Chine",21.93,32.48,3.13,30.4,27.7,28.9,2.7,87.6
2024-07-17,"Hong Kong","Chine",23.91,29.51,4.39,32.1,26.7,29,5.4,84.3
2024-07-18,"Hong Kong","Chine",27.26,18.87,4.15,31.3,26,28.3,5.3,88.1
2024-07-19,"Hong Kong","Chine",27.37,11.58,5.11,30.2,27.6,28.8,2.6,91.2
2024-07-20,"Hong Kong","Chine",20.22,20.22,4.75,32.9,29.1,30.2,3.8,84.2
2024-07-21,"Hong Kong","Chine",16.72,28.94,2.48,31.1,28.6,29.6,2.5,84.9
2024-07-22,"Hong Kong","Chine",20.77,34.63,3.3,32.1,28.4,29.9,3.7,84
2024-07-23,"Hong Kong","Chine",20.39,42.57,4.51,33.8,27.8,30.4,6,82.1
2024-07-24,"Hong Kong","Chine",26.04,72.85,8.86,33.5,28.4,30.3,5.1,82.1
2024-07-25,"Hong Kong","Chine",12.84,73.11,8.05,34.8,29.4,31.2,5.4,79.6
2024-07-26,"Hong Kong","Chine",11.29,59.23,6.51,30.1,28.5,29.3,1.6,90.8
2024-07-27,"Hong Kong","Chine",23.68,38.2,5.14,29.2,26.8,28.1,2.4,93.1
2024-07-28,"Hong Kong","Chine",25.47,27.07,4.01,27.4,26.2,26.9,1.2,95
2024-07-29,"Hong Kong","Chine",25.51,25.63,3.22,29.1,26.5,27.2,2.6,91.8
2024-07-30,"Hong Kong","Chine",28.3,26.93,2.1,30,26,27.5,4,90.2
2024-07-31,"Hong Kong","Chine",17.17,43.4,7.48,29.7,26.2,27.6,3.5,92.8
2024-08-01,"Hong Kong","Chine",9.37,50.98,9.56,32.3,27.8,29.6,4.5,84.9
2024-08-02,"Hong Kong","Chine",11.12,47.16,6.58,32.6,27.4,29.7,5.2,84.7
2024-08-03,"Hong Kong","Chine",11.1,49.98,7.34,33.4,27.6,30.3,5.8,78.1
2024-08-04,"Hong Kong","Chine",21.09,61.27,8.83,34.3,28.5,30.9,5.8,75.7
2024-08-05,"Hong Kong","Chine",38.57,97.4,18.96,35.8,28.5,31.8,7.3,77.4
2024-08-06,"Hong Kong","Chine",98.72,39.72,20.9,34,27.9,30.7,6.1,75.9
2024-08-07,"Hong Kong","Chine",16.37,68.05,10.98,33.8,27.6,30.8,6.2,77.2
2024-08-08,"Hong Kong","Chine",11.08,42.7,4.79,33.8,28.8,31,5,75.5
2024-08-09,"Hong Kong","Chine",9.89,47.57,6.29,34.6,28.4,30.8,6.2,75.6
2024-08-10,"Hong Kong","Chine",9.8,58.3,7.12,33.4,28.6,30.8,4.8,78.9
2024-08-11,"Hong Kong","Chine",9.19,60.4,8,32.9,28.8,30.6,4.1,78.9
2024-08-12,"Hong Kong","Chine",46.12,25.08,8.02,32.4,26.9,29.8,5.5,80.5
2024-08-13,"Hong Kong","Chine",47.21,27.46,9.01,31.7,27,29.1,4.7,85.9
2024-08-14,"Hong Kong","Chine",34.25,30.13,6.4,29.9,27.6,28.7,2.3,87.4
2024-08-15,"Hong Kong","Chine",51.55,12.3,6.29,30.8,26,27.4,4.8,91.8
2024-08-16,"Hong Kong","Chine",28.08,33.21,3.26,29.7,25.6,27.2,4.1,89.2
2024-08-17,"Hong Kong","Chine",31.24,41.29,6.01,28,25.5,27,2.5,94.4
2024-08-18,"Hong Kong","Chine",9.48,64.25,4.86,29.8,26.1,27.8,3.7,92.6
2024-08-19,"Hong Kong","Chine",11.8,56.28,4.33,28.4,26.6,27.4,1.8,93.5
2024-08-20,"Hong Kong","Chine",21,43.26,4.97,29.4,25.7,27.6,3.7,90.1
2024-08-21,"Hong Kong","Chine",47.92,21.2,7.17,28.7,25.9,27.5,2.8,85.9
2024-08-22,"Hong Kong","Chine",21.65,25.19,6.52,32.2,26.1,29.1,6.1,82.3
2024-08-23,"Hong Kong","Chine",19.39,29.39,8.14,32.5,27.4,29.7,5.1,81.4
2024-08-24,"Hong Kong","Chine",22.48,48.64,7.64,33.9,27.7,30.2,6.2,77.2
2024-08-25,"Hong Kong","Chine",24.62,33.51,5.05,33.3,27.2,29.9,6.1,76.4
2024-08-26,"Hong Kong","Chine",16.8,62.11,5.52,33.5,27,30.3,6.5,76.4
2024-08-27,"Hong Kong","Chine",22.84,83.02,11.2,34.1,27.3,30.7,6.8,76.1
2024-08-28,"Hong Kong","Chine",55.55,82.69,16.33,34.5,26.3,30.1,8.2,81.2
2024-08-29,"Hong Kong","Chine",39.05,104.8,19.67,32.1,26.7,28.9,5.4,83.8
2024-08-30,"Hong Kong","Chine",28.33,50.66,9.95,32.3,28.4,30.1,3.9,80.3
2024-08-31,"Hong Kong","Chine",32.11,25.58,5.72,31.8,27.2,29.4,4.6,82
2024-09-01,"Hong Kong","Chine",44.02,27.7,6.36,33.3,27.7,30.2,5.6,79.6
2024-09-02,"Hong Kong","Chine",44.99,67.17,10.3,34.5,27.5,30.8,7,76.4
2024-09-03,"Hong Kong","Chine",61.4,126.64,23.31,34.3,26.8,30.4,7.5,75.5
2024-09-04,"Hong Kong","Chine",42.93,95.76,15.62,33.1,26.3,29.8,6.8,74.3
2024-09-05,"Hong Kong","Chine",11.35,62.79,5.56,32.9,26.7,30.2,6.2,73.8
2024-09-06,"Hong Kong","Chine",11.73,57.96,5.1,28.9,26.3,27.8,2.6,87.6
2024-09-07,"Hong Kong","Chine",19.13,37.02,5.34,31.1,27.6,29.2,3.5,85.6
2024-09-08,"Hong Kong","Chine",26.12,37.55,4.37,30.6,27.3,28.7,3.3,87
2024-09-09,"Hong Kong","Chine",50.54,30.25,5.43,29.9,26.5,28.2,3.4,82
2024-09-10,"Hong Kong","Chine",23.42,60.88,12.7,32.6,25.4,29.3,7.2,75.3
2024-09-11,"Hong Kong","Chine",45.62,40.81,13.45,32.6,26.8,29.8,5.8,75.5
2024-09-12,"Hong Kong","Chine",40.86,57.95,10.71,32.7,26.5,29.8,6.2,74
2024-09-13,"Hong Kong","Chine",34.46,60.54,11.04,33.5,26.9,30.1,6.6,71.6
2024-09-14,"Hong Kong","Chine",49.69,39.42,14.18,32,27.5,29.2,4.5,78.4
2024-09-15,"Hong Kong","Chine",32.06,131.69,18.29,32.7,27.1,29.7,5.6,72.9
2024-09-16,"Hong Kong","Chine",29.98,56.16,7.51,31.7,27,29.1,4.7,74.7
2024-09-17,"Hong Kong","Chine",25.2,53.5,7.74,36.3,26.9,31.1,9.4,70.8
2024-09-18,"Hong Kong","Chine",20.35,66.64,7.5,33.5,26.9,30,6.6,72
2024-09-19,"Hong Kong","Chine",26.05,77.62,10.51,33.5,28.4,30.5,5.1,70.4
2024-09-20,"Hong Kong","Chine",30.59,44.36,9.11,32.6,27,29.8,5.6,78.8
2024-09-21,"Hong Kong","Chine",23.95,42.03,4.62,29,26.3,27.6,2.7,90.6
2024-09-22,"Hong Kong","Chine",20.28,39.46,4.94,30.6,24.3,27.3,6.3,86.7
2024-09-23,"Hong Kong","Chine",32.11,33.51,3.53,27,22.8,24.9,4.2,89.2
2024-09-24,"Hong Kong","Chine",25.93,31.15,2.95,27.9,24.9,26.7,3,90
2024-09-25,"Hong Kong","Chine",18.87,65.17,4.17,31.8,26.2,28.7,5.6,81.7
2024-09-26,"Hong Kong","Chine",21.1,90.3,6.99,31.7,26.4,29,5.3,79.8
2024-09-27,"Hong Kong","Chine",22.24,93.44,13.21,32.9,27.2,29.6,5.7,78.3
2024-09-28,"Hong Kong","Chine",34.26,91.84,19.36,33.5,27.7,29.7,5.8,78.1
2024-09-29,"Hong Kong","Chine",28.14,94.33,12.07,31.8,27.1,29.4,4.7,74.9
2024-09-30,"Hong Kong","Chine",46.65,99.78,20.8,33.9,26.5,30.6,7.4,70.5
2024-10-01,"Hong Kong","Chine",20.18,69.55,12.57,33.7,27.3,30.9,6.4,59.7
2024-10-02,"Hong Kong","Chine",25.11,92.36,10.5,29.9,24.7,26.9,5.2,53.9
2024-10-03,"Hong Kong","Chine",30.36,106.17,14.03,28.6,23.1,25.9,5.5,46.8
2024-10-04,"Hong Kong","Chine",37.88,92.01,13.35,28.9,23.9,26.6,5,46.6
2024-10-05,"Hong Kong","Chine",37.3,97.79,14.57,30.1,25.2,27.7,4.9,57.3
2024-10-06,"Hong Kong","Chine",37.17,92.56,17.33,31.9,26.2,28.8,5.7,65.7
2024-10-07,"Hong Kong","Chine",39.34,98.83,20.7,32.4,26.7,29.2,5.7,63.3
2024-10-08,"Hong Kong","Chine",30.33,90.46,20.46,30.7,25.5,28.1,5.2,58
2024-10-09,"Hong Kong","Chine",38.22,57.7,18.23,29.5,24.7,26.6,4.8,65.4
2024-10-10,"Hong Kong","Chine",35.01,88.66,14.68,29.7,23.7,26.9,6,64
2024-10-11,"Hong Kong","Chine",20.96,141.19,21.2,27.9,23.3,26.1,4.6,72.2
2024-10-12,"Hong Kong","Chine",24.3,137.66,19.7,30.2,25.5,27.5,4.7,64
2024-10-13,"Hong Kong","Chine",17,104.01,12.12,30.8,25.3,27.6,5.5,70.5
2024-10-14,"Hong Kong","Chine",25.29,85.13,15.75,31.5,25.3,28.3,6.2,70.8
2024-10-15,"Hong Kong","Chine",25.79,81.97,12.93,31.6,25.9,28.4,5.7,71.8
2024-10-16,"Hong Kong","Chine",23.28,81.26,9.41,32,26.5,28.5,5.5,71.3
2024-10-17,"Hong Kong","Chine",23.65,78.61,11.77,30.8,26.6,28.3,4.2,72.9
2024-10-18,"Hong Kong","Chine",30.53,61.31,13.07,31.5,26,28.5,5.5,74.9
2024-10-19,"Hong Kong","Chine",36.02,90.4,18.66,32.9,24.8,29,8.1,74.7
2024-10-20,"Hong Kong","Chine",17.54,87.55,8.55,31.2,26.6,28.5,4.6,73.1
2024-10-21,"Hong Kong","Chine",28.86,88.21,15.95,31.2,25.8,28,5.4,71.9
2024-10-22,"Hong Kong","Chine",34.9,74.04,15.91,32.5,25.6,28.4,6.9,63.2
2024-10-23,"Hong Kong","Chine",29.01,75.33,11.44,28.1,23,25.8,5.1,55.8
2024-10-24,"Hong Kong","Chine",38.61,96.02,14.98,27.7,21.5,24.3,6.2,41.8
2024-10-25,"Hong Kong","Chine",35.09,88.43,15.82,29.2,22.8,25.8,6.4,43.4
2024-10-26,"Hong Kong","Chine",28.43,61.15,15.46,27.8,24.7,26.1,3.1,62.8
2024-10-27,"Hong Kong","Chine",26.49,66.18,14.71,29.6,24.5,26.7,5.1,71.3
2024-10-28,"Hong Kong","Chine",40.87,41.46,8.21,26.9,23.9,25.4,3,66.2
2024-10-29,"Hong Kong","Chine",38.07,55.6,12.01,26.8,22.8,25,4,67
2024-10-30,"Hong Kong","Chine",41.82,77.91,20.25,28.7,23.4,25.7,5.3,63.4
2024-10-31,"Hong Kong","Chine",44.65,81.35,16.94,29.5,23.3,26.3,6.2,53.3
2024-11-01,"Hong Kong","Chine",37.16,86.06,11.57,30.2,23.6,26.8,6.6,55.7
2024-11-02,"Hong Kong","Chine",33.18,75.47,9.63,26.4,22.2,24.5,4.2,62.5
2024-11-03,"Hong Kong","Chine",19.63,114.11,15.49,28,23.6,25.6,4.4,69.9
2024-11-04,"Hong Kong","Chine",35.76,113.35,23.48,28.7,23.4,26.1,5.3,72.8
2024-11-05,"Hong Kong","Chine",35.9,93.78,27.43,28.8,23.1,25.7,5.7,66.1
2024-11-06,"Hong Kong","Chine",30.85,118,28.49,27.4,22.7,25,4.7,59.4
2024-11-07,"Hong Kong","Chine",35.02,104.67,19.06,27,20.4,24,6.6,51.5
2024-11-08,"Hong Kong","Chine",51.85,88.03,16.55,27,18.6,23.7,8.4,46.7
2024-11-09,"Hong Kong","Chine",27.59,91.61,13.43,28.7,23.3,25.6,5.4,57.8
2024-11-10,"Hong Kong","Chine",32.2,56.84,18.12,26.6,23.1,24.8,3.5,77.9
2024-11-11,"Hong Kong","Chine",30.03,95.91,20.21,28.5,22.9,25.2,5.6,73.8
2024-11-12,"Hong Kong","Chine",48.8,93.43,24.5,29.8,22.5,25.9,7.3,72.9
2024-11-13,"Hong Kong","Chine",36.19,41.17,11.58,26.9,23.4,24.9,3.5,80.6
